Parameter,Value,Effect,Method,MAE,RMSE,Bias,CI_Coverage
auto,0.01,0_-3_to_3_0,pcmci,0.027764856815338024,0.027764856815338024,-0.027764856815338024,
auto,0.01,0_-3_to_3_0,bagged,0.028745412826537975,0.028745412826537975,-0.028745412826537975,
auto,0.01,0_-3_to_3_0,bootstrap,0.027127981185913086,0.027127981185913086,-0.027127981185913086,0.0
auto,0.09909090909090908,0_-3_to_3_0,pcmci,0.4472823441028595,0.4472823441028595,0.4472823441028595,
auto,0.09909090909090908,0_-3_to_3_0,bagged,0.44502946734428406,0.44502946734428406,0.44502946734428406,
auto,0.09909090909090908,0_-3_to_3_0,bootstrap,0.4526486098766327,0.4526486098766327,0.4526486098766327,0.0
auto,0.11888888888888888,0_-3_to_3_0,pcmci,0.10392844676971447,0.10392844676971447,0.10392844676971447,
auto,0.11888888888888888,0_-3_to_3_0,bagged,0.09405142068862915,0.09405142068862915,0.09405142068862915,
auto,0.11888888888888888,0_-3_to_3_0,bootstrap,0.093119223912557,0.093119223912557,0.093119223912557,0.0
auto,0.12878787878787878,0_-3_to_3_0,pcmci,0.157304048538208,0.157304048538208,0.157304048538208,
auto,0.12878787878787878,0_-3_to_3_0,bagged,0.14733129739761353,0.14733129739761353,0.14733129739761353,
auto,0.12878787878787878,0_-3_to_3_0,bootstrap,0.15059828758239746,0.15059828758239746,0.15059828758239746,0.0
auto,0.16838383838383839,0_-3_to_3_0,pcmci,0.05262508988380432,0.05262508988380432,-0.05262508988380432,
auto,0.16838383838383839,0_-3_to_3_0,bagged,0.04841536283493042,0.04841536283493042,-0.04841536283493042,
auto,0.16838383838383839,0_-3_to_3_0,bootstrap,0.04770324627558381,0.04770324627558381,-0.04770324627558381,0.0
auto,0.31686868686868686,0_-3_to_3_0,pcmci,0.0021164417266845703,0.0021164417266845703,-0.0021164417266845703,
auto,0.31686868686868686,0_-3_to_3_0,bagged,0.0020897388458251953,0.0020897388458251953,-0.0020897388458251953,
auto,0.31686868686868686,0_-3_to_3_0,bootstrap,0.004937012990315792,0.004937012990315792,-0.004937012990315792,1.0
auto,0.3564646464646465,0_-3_to_3_0,pcmci,0.339146077632904,0.339146077632904,-0.339146077632904,
auto,0.3564646464646465,0_-3_to_3_0,bagged,0.3231421113014221,0.3231421113014221,-0.3231421113014221,
auto,0.3564646464646465,0_-3_to_3_0,bootstrap,0.33129750688870746,0.33129750688870746,-0.33129750688870746,0.0
auto,0.40595959595959596,0_-3_to_3_0,pcmci,0.028644829988479614,0.028644829988479614,0.028644829988479614,
auto,0.40595959595959596,0_-3_to_3_0,bagged,0.02744436264038086,0.02744436264038086,0.02744436264038086,
auto,0.40595959595959596,0_-3_to_3_0,bootstrap,0.05066576600074768,0.05066576600074768,0.05066576600074768,0.0
auto,0.495050505050505,0_-3_to_3_0,pcmci,0.10757870972156525,0.10757870972156525,0.10757870972156525,
auto,0.495050505050505,0_-3_to_3_0,bagged,0.10779409110546118,0.10779409110546118,0.10779409110546118,
auto,0.495050505050505,0_-3_to_3_0,bootstrap,0.10644365847110748,0.10644365847110748,0.10644365847110748,0.0
auto,0.5742424242424242,0_-3_to_3_0,pcmci,0.23420943319797516,0.23420943319797516,-0.23420943319797516,
auto,0.5742424242424242,0_-3_to_3_0,bagged,0.22928187251091003,0.22928187251091003,-0.22928187251091003,
auto,0.5742424242424242,0_-3_to_3_0,bootstrap,0.22676732142766318,0.22676732142766318,-0.22676732142766318,0.0
auto,0.99,0_-3_to_3_0,bagged,0.17566399835050106,0.17566399835050106,0.17566399835050106,
auto,0.99,0_-3_to_3_0,bootstrap,0.11740012032290303,0.11740012032290303,0.11740012032290303,0.0
cross,0.1,0_-3_to_3_0,pcmci,0.20065885782241824,0.20065885782241824,-0.20065885782241824,
cross,0.1,0_-3_to_3_0,bagged,0.21952330321073532,0.21952330321073532,-0.21952330321073532,
cross,0.1,0_-3_to_3_0,bootstrap,0.21424438307682672,0.21424438307682672,-0.21424438307682672,0.0
